cards_yellow,dribbles_completed,tackles,match_report,cards_red,goals,passes_completed,round,position,pens_att,passes_pct,progressive_passes,comp,minutes,date,game_started,touches,interceptions,sca,dribbles,shots_on_target,passes,assists,pens_made,xg_assist,gca,shots,venue,xg,result,blocks,dayofweek,team,npxg,opponent
0,,,,0,0,,FA Community Shield,CM,0,,,Community Shield,84,2022-07-30,Y,,2,,,0,,0,0,,,1,Neutral,,W 3–1,,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",,Manchester City
0,0,0,,0,0,47,Matchweek 1,LM,0,87.0,9,Premier League,50,2022-08-06,Y,60,1,1,1,0,54,0,0,0.1,0,0,Away,0.0,D 2–2,2,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Fulham
0,0,6,,0,0,31,Group stage,LM,0,91.2,2,Champions Lg,29,2022-09-07,N,36,0,1,0,0,34,0,0,0.0,0,0,Away,0.0,L 1–4,0,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Napoli
0,1,2,,0,0,54,Group stage,LM,0,85.7,8,Champions Lg,89,2022-09-13,Y,72,1,3,2,1,63,0,0,0.0,0,1,Home,0.0,W 2–1,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Ajax
0,0,3,,0,0,62,Matchweek 9,LM,0,83.8,4,Premier League,88,2022-10-01,Y,87,1,3,2,0,74,0,0,0.1,0,0,Home,0.0,D 3–3,2,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Brighton
0,1,4,,0,0,53,Group stage,DM,0,85.5,5,Champions Lg,79,2022-10-04,Y,73,2,3,1,0,62,0,0,0.1,0,1,Home,0.0,W 2–0,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Rangers
0,0,2,,0,0,54,Matchweek 10,"DM,CM,LM",0,78.3,1,Premier League,90,2022-10-09,Y,74,2,2,0,0,69,0,0,0.0,1,0,Away,0.0,L 2–3,0,Sun,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Arsenal
0,0,2,,0,0,19,Group stage,CM,0,90.5,3,Champions Lg,23,2022-10-12,N,24,0,4,0,0,21,0,0,0.3,2,0,Away,0.0,W 7–1,1,Wed,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.0,Rangers
1,1,4,,0,0,39,Matchweek 11,"DM,CM",0,81.3,4,Premier League,90,2022-10-16,Y,58,2,2,1,0,48,0,0,0.0,0,0,Home,0.0,W 1–0,1,Sun,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Manchester City
0,0,1,,0,0,67,Matchweek 12,CM,0,91.8,13,Premier League,56,2022-10-19,Y,77,2,5,0,0,73,0,0,0.1,1,1,Home,0.0,W 1–0,0,Wed,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,West Ham
0,3,7,,0,0,65,Matchweek 14,LM,0,82.3,6,Premier League,90,2022-10-29,Y,92,1,3,3,0,79,0,0,0.1,0,0,Home,0.0,L 1–2,2,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Leeds United
0,0,1,,0,0,48,Group stage,LM,0,92.3,2,Champions Lg,86,2022-11-01,Y,62,4,2,1,1,52,0,0,0.0,0,1,Home,0.1,W 2–0,1,Tue,"<span title=""England""><span class=""f-i f-gb-eng"" style="""">eng</span></span>",0.1,Napoli
0,1,5,,0,0,65,Matchweek 15,LM,0,92.9,2,Premier League,90,2022-11-06,Y,86,0,3,2,0,70,0,0,0.2,0,3,Away,0.1,W 2–1,0,Sun,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.1,Tottenham
0,1,1,,0,0,92,Matchweek 16,LM,0,92.0,6,Premier League,90,2022-11-12,Y,104,0,0,1,0,100,0,0,0.0,0,0,Home,0.0,W 3–1,0,Sat,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",0.0,Southampton
0,,,,0,0,,Fourth round,CM,0,,,EFL Cup,69,2022-12-22,Y,,1,,,0,,0,0,,,0,Away,,L 2–3,,Thu,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",,Manchester City
